name,likes,downloads,last_modified,decision_score
dukeme/DialoGPT-small-RDBotv1,0,19,2021-10-25 16:06:20+00:00,-0.0148646472201572
ehdwns1516/gpt2_review_star2,0,20,2021-07-23 01:06:41+00:00,-0.0064391625650064
ehdwns1516/gpt2_review_star3,0,20,2021-07-23 01:06:54+00:00,-0.0992931585172832
ehdwns1516/gpt2_review_star4,0,20,2021-07-23 01:07:26+00:00,-0.0094170760977198
ehdwns1516/gpt3-kor-based_gpt2_review_SR1,0,20,2021-07-23 01:17:45+00:00,-0.0164425141460481
ehdwns1516/gpt3-kor-based_gpt2_review_SR2,0,20,2021-07-23 01:16:21+00:00,-0.0015964351679444
ehdwns1516/gpt3-kor-based_gpt2_review_SR4,0,22,2021-07-23 01:18:45+00:00,-0.0690574848707935
ehdwns1516/gpt3-kor-based_gpt2_review_SR5,0,20,2021-07-23 01:19:22+00:00,-0.0690574848707935
ekkasilina/small_baseline,0,19,2021-10-26 14:03:38+00:00,-0.1391327972811447
eklrivera/DialoGPT-small-harrypotter,0,19,2021-08-28 01:51:19+00:00,-0.0279887864428783
empushy/gpt2-alerts,0,19,2021-05-21 15:48:27+00:00,-0.0012967515891695
empushy/gpt2-emulator,0,19,2021-05-22 19:04:30+00:00,-0.1321571830509043
ensamblador/gpt2-derecha-with-bos-eos-48heads,0,21,2021-05-21 15:49:43+00:00,-0.061956404429899
ensamblador/gpt2-es-48heads,0,20,2021-05-21 15:52:15+00:00,-0.0728204036210584
ensamblador/gpt2_espanol_8hx512pos,0,21,2021-05-21 15:57:50+00:00,-0.0222254640270419
ensamblador/model_es_custom,0,21,2021-05-21 15:58:58+00:00,-0.0375663296618886
ericzhou/DialoGPT-Medium-Rick,0,27,2022-01-20 04:34:16+00:00,-0.0317976939695798
ethzanalytics/ai-msgbot-gpt2-L,0,39,2025-02-10 17:14:49+00:00,-0.0791989090758568
ethzanalytics/ai-msgbot-gpt2-M,0,37,2025-02-10 17:14:55+00:00,-0.007555396763429
ethzhou/newJooby,0,19,2021-09-17 07:09:09+00:00,-0.1203670887850899
eunjin/kogpt2-finetuned-wellness,0,20,2021-06-10 12:32:15+00:00,-0.0782320084924235
faketermz/DialoGPT,0,18,2021-12-05 13:02:46+00:00,-0.0146006531888827
fatemaMeem98/DialoGPT-medium-HermioneGrangerBot,0,19,2021-12-20 05:35:09+00:00,-0.0280205522118365
felinecity/DioloGPT-small-KaeyaBot,0,19,2022-01-13 00:34:48+00:00,-0.0177119359193053
felinecity/DioloGPT-small-LisaBot,0,19,2022-01-12 08:10:08+00:00,-0.0262975708607328
felinecity/ScaraBot,0,19,2022-01-25 22:33:56+00:00,-0.0055474739236008
fibruh/DialoGPT-small-harrypotter,0,19,2021-12-15 04:18:11+00:00,-0.0125944254401207
flax-community/gpt-neo-1.3B-resized-embed,0,2,2021-07-16 11:25:41+00:00,-0.0144193291894536
flax-community/gpt-neo-125M-apps,0,4,2023-11-20 13:40:02+00:00,-0.0072849154082407
gabtan99/dialogpt-tagalog-medium-30,0,23,2021-08-18 03:05:00+00:00,-0.0771543231714005
gagan3012/keytotext-small,0,21,2021-03-11 23:33:47+00:00,-0.0959953405361954
geralt/MechDistilGPT2,0,20,2023-09-11 15:49:22+00:00,-0.0072849154082407
ghhostboy/DialoGPT-medium-connorDBH3-1,0,19,2021-11-26 05:04:43+00:00,-0.0164518506247902
gizmo-dev/DialoGPT-small-jake,0,19,2021-08-28 10:16:41+00:00,-0.0770641910537009
goodjw/gpt-trinity-poem,0,19,2021-12-07 15:38:01+00:00,-0.0293335117302503
grayson124/chatbotwaifu,0,20,2022-03-01 02:49:54+00:00,-0.0041467585820343
groar/gpt-neo-1.3B-finetuned-escape,0,4,2022-02-06 18:14:00+00:00,-0.0183462725465451
groar/gpt-neo-1.3B-finetuned-escape2,0,5,2022-02-13 20:59:30+00:00,-0.0060674164923218
groar/gpt-neo-1.3B-finetuned-escape3,0,2,2022-02-14 15:17:25+00:00,-0.134862747324426
grounddominator/DialoGPT-lar-Rick,0,20,2021-09-10 04:47:53+00:00,-0.0735035485592093
gusintheshell/DialoGPT-small-rickbot,0,22,2021-08-29 00:42:21+00:00,-0.0894866831556741
ha-mulan/moby-dick,0,20,2021-05-21 16:19:33+00:00,-0.0938042080222865
hama/barney_bot,0,21,2021-09-05 22:16:26+00:00,-0.0511436069682464
hama/rick_bot,0,19,2021-09-05 15:25:45+00:00,-0.1186976772749515
heabeoun/DiabloGPT-small-nuon-conv,0,25,2022-02-09 02:31:56+00:00,-0.0494639431235618
henryoce/DialoGPT-small-rick-and-morty,0,20,2021-08-25 04:37:09+00:00,-0.0846962045809982
hervetusse/DialogGPT-small-harrypotter,0,20,2022-01-27 16:02:44+00:00,-0.0339425535145452
himanshu-dutta/pycoder-gpt2,0,20,2021-05-23 11:56:06+00:00,-0.084294676283267
hireddivas/DialoGPT-small-scully,0,20,2021-10-30 19:15:03+00:00,-0.0770741185264456
houssaineamzil/DialoGPT-small-joey,0,18,2021-09-09 23:54:51+00:00,-0.0936302833327168
hrv/DialoGPT-small-rick-morty,0,20,2021-08-27 06:55:43+00:00,-0.0692427858389977
huggingartists/100-gecs,0,22,2021-12-22 15:23:59+00:00,-0.0422138195508081
huggingartists/21-savage,0,26,2021-09-11 16:36:16+00:00,-0.0042551359110862
huggingartists/5nizza,0,21,2021-09-12 12:34:26+00:00,-0.0067654763869381
huggingartists/5opka,0,23,2021-09-16 15:23:49+00:00,-0.0123760730965944
